BCI-AV#,English,POS,Derivation - explanation,WinBliss
24938,"shortness_(distance,length)",YELLOW,"(horizontal line [half-sized] bounded by reference lines [half-sized]: horizontal line is relatively short) See also: length,longness 15193. - Character",W#2#1#0#0#12#29#13##0#4*&W#2#2#0#0#10#29#11##0#4*&W#2#2#0#4#10#33#11##0#4*%£
24940,"spray,vaporization",YELLOW,"(water,fluid,liquid + a cluster of seven dots: a liquid transformed into a spray of small drops) - Character (superimposed - sequenced)",A#1#2#0#0#11#15#12##0#4*&Q#1#1#0#6#10#39#11##0#4*&Q#1#1#0#6#14#39#15##0#4*&Q#1#1#0#10#10#43#11##0#4*&Q#1#1#0#10#14#43#15##0#4*&Q#1#1#0#14#8#47#9##0#4*&Q#1#1#0#14#12#47#13##0#4*&Q#1#1#0#14#16#47#17##0#4*%£
24941,strength,YELLOW,"(health + muscle [combination]: symbol suggests the outline of a person, arm bent, biceps flexed, showing strength) - Character (superimposed)",K#1#1#0#0#10#27#11##0#4*&W#2#1#0#0#12#27#13##0#4*&W#2#2#0#0#8#27#9##0#4*&W#4#2#0#4#8#31#9##0#4*%£
24944,superlative_most,WHITE,"(horizontal reference line [modification, half-sized on skyline] + much,many,very [modification, higher position]: much, many on the highest level) - Character (superimposed - modified)",T#4#1#0#0#8#29#9##0#4*&W#2#1#0#0#8#29#9##0#4*%£
24949,"wakefulness,alertness",YELLOW,(eye + open: state one is in when one's eyes are open) - Character (superimposed),N#1#3#0#0#8#31#9##0#4*&H#2#1#0#2#10#33#11##0#4*&Q#1#1#0#4#12#35#13##0#4*%£
24961,slang,YELLOW,(feeling + to speak: emotional talk) - Character (superimposed),B#1#1#0#0#8#31#9##0#4*&H#2#1#0#2#10#35#11##0#4*%£
24962,coarse_slang,YELLOW,(knife + to speak: sharp talk) - Character (superimposed),W#6#1#0#0#12#33#13##0#4*&W#8#2#0#0#8#33#9##0#4*&H#2#1#0#2#10#19#11##0#4*%£
25011,"alphabet,letters_(uppercase)_(Latin_alphabet)",YELLOW,"(A_(uppercase) + B_(uppercase) + C_(uppercase): first three letters of the English alphabet, representing the entire alphabet) - Character (superimposed)",Z#1#1#0#0#10#9#11#A#0#6*&Z#1#1#0#4#10#33#11#B#0#6*&Z#1#1#0#8#10#37#11#C#0#6*%£
25070,"gravity,gravitation",YELLOW,"(thing + down [modification, short arrow]) - Character (superimposed - modified)",L#2#1#0#0#10#7#11##0#4*&R#2#3#0#0#16#35#17##0#4*&W#2#2#0#2#14#37#15##0#4*%£
25119,"move,movement",YELLOW,(wheel + earth [half-sized]: the wheel moves by rolling over the ground) - Character (superimposed),G#1#1#0#0#12#31#13##0#4*&W#2#1#0#0#16#15#17##0#4*%£
